,Pokemon,fire,water,grass,electric,ice,fighting,poison,ground,flying,psychic,bug,rock,ghost,dragon,dark,steel,fairy,Tipo 1,Tipo 2,Primer_Cluster
274,Greninja,4,19,5,3,10,6,9,6,5,5,3,8,5,2,10,2,0,water,dark,4
275,Grimer,9,3,3,6,6,4,24,5,2,4,3,6,8,2,8,2,0,poison,fire,13
276,Grotle,3,4,22,2,2,4,5,6,2,6,2,7,4,2,4,3,0,grass,rock,14
277,Grovyle,3,3,25,4,3,14,5,6,4,4,4,7,2,4,5,3,0,grass,fighting,14
278,Growlithe,19,2,2,3,3,7,5,4,3,4,2,3,3,3,6,3,1,fire,fighting,9
279,Grumpig,5,3,5,6,6,11,5,5,3,23,3,3,5,2,8,3,0,psychic,fighting,3
280,Gulpin,5,5,6,4,6,6,26,3,2,5,3,4,7,2,3,2,0,poison,ghost,13
281,Gurdurr,5,3,4,3,4,22,8,4,2,3,2,12,3,2,6,2,0,fighting,rock,10
282,Gyarados,6,14,2,5,11,3,5,4,3,3,2,5,3,12,9,4,0,water,dragon,4
283,Happiny,7,5,6,4,6,5,5,5,3,9,2,3,3,2,3,2,2,psychic,fire,1
284,Hariyama,5,6,2,3,4,25,8,8,2,4,2,11,3,2,6,5,0,fighting,rock,10
285,Haunter,6,3,4,4,7,2,17,3,2,13,3,2,17,2,14,2,1,poison,ghost,2
286,Hawlucha,5,3,4,4,4,18,8,4,16,6,4,8,2,3,7,5,0,fighting,flying,10
287,Haxorus,4,5,4,3,3,9,8,5,3,3,3,7,3,15,8,3,0,dragon,fighting,12
288,Heatmor,15,3,4,3,2,9,7,3,3,4,4,5,7,2,12,2,0,fire,dark,9
289,Heliolisk,4,4,4,22,3,5,5,7,2,5,4,7,2,6,4,3,0,electric,rock,11
290,Helioptile,2,4,4,20,2,3,5,7,2,5,4,7,2,4,4,3,0,electric,rock,11
291,Heracross,3,3,3,2,2,15,7,6,3,3,9,11,3,2,7,3,0,fighting,rock,10
292,Herdier,5,4,2,7,5,5,5,5,3,3,2,5,5,2,7,2,3,electric,dark,1
293,Hippopotas,3,4,2,2,2,5,5,10,2,3,2,10,4,2,4,3,0,ground,rock,16
294,Hippowdon,5,4,2,3,4,5,5,10,2,3,2,11,4,2,4,4,0,rock,ground,16
295,Hitmonchan,5,3,2,3,4,23,5,5,3,5,2,9,3,2,5,3,0,fighting,rock,10
296,Hitmonlee,4,3,2,2,3,24,8,5,3,5,2,10,3,2,7,3,0,fighting,rock,10
297,Hitmontop,3,3,2,2,2,19,5,7,3,5,2,9,3,3,5,4,0,fighting,rock,10
298,Honchkrow,5,3,2,3,5,3,5,3,18,8,2,2,9,3,20,4,0,dark,flying,7
299,Honedge,2,3,2,4,2,5,5,3,3,5,3,6,6,2,4,8,0,steel,rock,16
300,Ho-Oh,13,3,4,7,4,3,5,6,15,12,3,5,5,3,3,5,0,flying,fire,7
301,Hoopa,5,3,5,7,6,7,7,3,3,25,3,2,6,3,15,2,0,psychic,dark,3
302,Hoopa-Unbound,5,3,5,7,6,7,7,3,3,25,3,2,6,3,15,2,0,psychic,dark,3
303,Hoothoot,4,3,2,2,4,3,5,3,17,15,3,2,7,3,4,4,0,flying,psychic,7
304,Hoppip,3,2,21,2,2,2,8,3,5,6,6,2,2,2,3,2,3,grass,poison,6
305,Horsea,2,20,2,2,8,2,6,2,3,4,3,2,2,12,2,3,0,water,dragon,4
306,Houndoom,17,2,3,3,4,6,9,3,2,5,2,3,7,2,20,3,1,dark,fire,2
307,Houndour,17,2,3,3,4,6,9,3,2,5,2,3,7,2,20,3,1,dark,fire,2
308,Huntail,2,20,2,3,9,2,6,4,3,4,3,4,3,2,7,3,0,water,ice,4
309,Hydreigon,10,5,2,6,8,5,5,5,8,5,4,9,4,14,11,6,0,dragon,dark,12
310,Hypno,5,3,4,4,5,12,8,3,2,27,3,2,4,2,11,2,1,psychic,fighting,3
311,Igglybuff,7,5,5,5,5,4,5,6,4,12,2,3,4,3,6,2,3,psychic,fire,15
312,Illumise,3,5,4,8,5,8,5,3,9,5,11,2,5,2,6,2,4,bug,flying,5
313,Inkay,4,3,2,3,3,3,5,2,5,15,2,4,4,2,17,2,0,dark,psychic,2
314,Ivysaur,3,3,29,2,3,3,14,4,2,5,4,3,4,2,3,2,1,grass,poison,6
315,Jellicent,4,18,5,3,8,2,10,2,2,9,2,2,8,2,5,2,1,water,poison,4
316,Jigglypuff,9,5,5,9,12,10,5,6,4,12,2,5,4,3,8,3,5,ice,psychic,1
317,Jirachi,5,5,5,8,5,5,5,5,4,23,4,6,4,3,3,7,3,psychic,electric,3
318,Jolteon,3,3,2,13,5,5,5,6,2,7,4,3,5,2,4,3,2,electric,psychic,11
319,Joltik,2,3,4,12,2,2,15,3,3,5,16,3,2,2,6,2,0,bug,poison,0
320,Jumpluff,3,2,21,2,2,2,8,3,5,6,6,2,2,2,3,2,3,grass,poison,6
321,Jynx,2,5,5,2,15,11,5,4,2,23,3,2,5,2,10,2,2,psychic,ice,3
322,Kabuto,2,13,5,2,8,4,5,8,3,3,2,15,4,2,5,4,0,rock,water,16
323,Kabutops,2,15,5,2,8,8,5,8,3,3,4,17,4,2,6,4,0,rock,water,16
324,Kadabra,5,3,5,6,5,7,5,4,3,34,3,2,4,2,11,3,1,psychic,dark,3
325,Kakuna,0,0,0,1,0,0,3,0,0,0,3,0,0,0,0,1,0,poison,bug,0
326,Kangaskhan,9,8,3,6,11,16,5,6,3,3,3,9,6,3,8,3,0,fighting,ice,10
327,Karrablast,2,3,4,2,2,3,8,3,4,3,13,2,2,2,5,3,0,bug,poison,5
328,Kecleon,9,6,5,8,8,11,5,4,3,11,3,11,7,2,11,3,0,fighting,rock,1
329,Keldeo,2,11,2,2,5,10,8,2,4,5,3,4,2,2,3,2,0,water,fighting,4
330,Kingdra,2,20,2,2,8,2,6,2,3,4,3,2,2,13,3,4,0,water,dragon,4
331,Kingler,2,13,2,3,9,5,5,6,2,6,4,9,2,2,7,4,0,water,rock,4
332,Kirlia,6,3,5,7,9,2,5,5,2,27,3,2,8,3,8,2,5,psychic,ice,3
333,Klang,2,2,2,14,4,3,5,4,3,5,3,6,2,2,2,9,0,electric,steel,11
334,Klefki,3,3,2,4,3,2,5,4,2,13,2,2,3,2,6,6,8,psychic,fairy,15
335,Klink,2,2,2,14,4,3,5,4,3,5,3,6,2,2,2,9,0,electric,steel,11
336,Klinklang,2,2,2,16,4,3,5,4,3,6,3,6,2,2,2,9,0,electric,steel,11
337,Koffing,8,3,2,5,4,2,22,2,2,5,3,3,8,2,10,3,0,poison,dark,13
338,Krabby,2,13,2,3,9,5,5,6,2,6,4,8,2,2,6,4,0,water,ice,4
339,Kricketot,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,bug,ground,0
340,Kricketune,3,3,2,2,4,5,5,3,3,3,16,3,2,2,6,2,0,bug,dark,5
341,Krokorok,5,3,4,3,3,9,7,9,2,3,2,12,4,2,20,3,0,dark,rock,2
342,Krookodile,5,3,4,3,3,12,7,10,3,3,2,13,4,9,20,3,0,dark,rock,10
343,Kyogre,2,20,2,6,9,4,5,5,2,4,3,8,2,2,2,3,0,water,ice,4
344,Kyurem,3,3,2,2,10,4,5,3,6,9,3,9,4,14,5,6,0,dragon,ice,12
345,Kyurem-Black,3,3,2,3,11,4,5,3,6,9,3,9,4,14,5,6,0,dragon,ice,12
346,Kyurem-White,4,3,2,2,12,4,5,3,6,9,3,9,4,14,5,6,0,dragon,ice,12
347,Lairon,3,5,2,4,2,5,5,8,3,3,3,16,6,4,3,10,0,rock,steel,16
348,Lampent,16,2,4,3,3,2,10,3,2,12,2,2,10,2,9,2,0,fire,psychic,9
349,Landorus,2,2,4,2,2,8,9,10,4,10,3,16,2,3,6,3,0,rock,psychic,16
350,Landorus-Therian,2,2,4,2,2,8,9,10,4,10,3,16,2,3,6,3,0,rock,psychic,16
351,Lanturn,2,21,2,17,8,2,5,2,3,6,3,2,3,2,3,2,1,water,electric,4
352,Lapras,2,16,2,5,16,4,5,5,2,8,3,4,7,7,2,4,0,water,ice,4
353,Larvesta,14,2,4,4,2,3,5,3,3,9,12,2,3,2,2,2,0,fire,bug,9
354,Larvitar,3,3,2,2,3,6,5,8,2,3,2,15,5,5,12,5,0,rock,dark,16
355,Latias,4,12,6,7,5,2,5,6,9,23,3,3,4,11,4,4,1,psychic,water,3
356,Latios,3,10,6,7,5,2,5,6,9,22,3,3,4,13,4,4,0,psychic,dragon,3
357,Leafeon,3,3,16,2,4,4,5,5,3,5,4,3,5,2,5,3,2,grass,ghost,14
358,Leavanny,3,2,15,3,2,2,8,2,4,9,14,2,3,2,5,5,0,grass,bug,5
359,Ledian,3,2,4,3,4,10,5,4,9,7,12,4,3,2,5,2,0,bug,fighting,5
360,Ledyba,3,2,4,3,4,8,5,3,9,7,12,3,3,2,5,2,0,bug,flying,5
361,Lickilicky,9,10,4,6,8,11,6,7,2,6,2,10,7,4,5,4,0,fighting,rock,1
362,Lickitung,9,10,4,6,8,10,6,7,2,6,2,10,7,4,5,3,0,water,rock,1
363,Liepard,3,3,5,3,5,3,7,3,3,6,3,3,5,2,21,3,2,dark,poison,2
364,Lileep,3,3,13,2,2,2,9,5,2,6,4,13,6,2,2,2,0,grass,rock,14
365,Lilligant,3,2,23,2,2,2,5,2,2,7,3,2,2,2,2,2,1,grass,psychic,6
366,Lillipup,5,3,2,7,5,5,5,5,3,3,2,5,5,2,6,2,3,electric,dark,1
367,Linoone,3,7,6,8,8,4,7,7,2,4,4,5,5,2,7,3,3,ice,electric,1
368,Litleo,16,3,3,3,4,3,5,4,2,3,2,3,2,2,10,3,0,fire,dark,9
369,Litwick,16,2,4,3,3,2,10,3,2,12,2,2,10,2,9,2,0,fire,psychic,9
370,Lombre,6,18,14,3,12,8,5,3,2,4,2,3,3,2,6,2,0,water,grass,4
371,Lopunny,5,5,6,9,9,14,5,6,4,8,3,3,4,2,5,3,3,fighting,electric,1
372,Lotad,3,11,14,2,9,3,5,2,2,4,2,2,3,2,3,2,0,grass,water,14
373,Loudred,10,5,3,4,12,11,5,6,2,6,2,9,4,2,7,2,1,ice,fighting,1
374,Lucario,4,5,2,4,5,25,8,8,3,10,3,9,5,5,10,8,0,fighting,dark,10
375,Ludicolo,6,18,14,3,12,11,5,3,2,4,2,4,3,2,6,2,0,water,grass,4
376,Lugia,3,13,3,7,10,3,5,7,15,18,3,5,5,9,3,6,0,psychic,flying,1
377,Lumineon,2,18,2,2,8,2,5,2,7,5,5,2,3,3,3,2,2,water,ice,4
378,Lunatone,2,3,4,3,6,2,5,8,4,23,3,17,3,2,3,4,2,psychic,rock,3
379,Luvdisc,3,19,2,3,7,2,5,3,3,5,2,2,2,2,2,2,3,water,ice,4
380,Luxio,4,3,2,16,5,3,5,4,2,4,4,2,2,2,8,3,1,electric,dark,11
381,Luxray,4,3,2,19,5,4,5,5,2,4,4,2,2,2,8,3,1,electric,dark,11
382,Machamp,9,3,2,3,5,25,8,7,2,7,2,11,3,3,6,4,0,fighting,rock,10
383,Machoke,9,3,2,3,5,25,8,7,2,7,2,9,3,3,6,4,0,fighting,fire,10
384,Machop,9,3,2,3,5,25,8,7,2,7,2,9,3,3,6,4,0,fighting,fire,10
385,Magby,19,2,2,3,3,12,9,3,2,7,2,3,3,3,5,3,0,fire,fighting,9
386,Magcargo,15,2,3,2,2,3,9,7,2,7,3,18,4,2,3,4,0,rock,fire,16
387,Magikarp,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,water,flying,7
388,Magmar,19,2,2,3,3,15,9,3,2,7,2,4,3,3,5,3,0,fire,fighting,9
389,Magmortar,19,2,3,4,4,15,9,5,2,7,2,8,3,3,7,3,0,fire,fighting,9
390,Magnemite,3,3,2,16,2,2,5,4,3,7,3,3,2,2,2,8,0,electric,steel,11
391,Magneton,3,3,2,19,2,2,5,5,3,7,3,3,2,2,2,8,0,electric,steel,11
392,Magnezone,3,3,2,20,2,2,5,5,3,9,3,3,2,2,2,9,0,electric,steel,11
393,Makuhita,5,5,2,3,4,25,8,8,2,4,2,10,3,2,5,4,0,fighting,rock,10
394,Malamar,4,3,2,3,3,4,5,2,5,16,3,4,4,2,17,2,0,dark,psychic,2
395,Mamoswine,2,4,2,3,18,5,5,11,3,6,2,13,5,2,4,3,1,ice,rock,1
396,Manaphy,3,17,5,2,7,2,6,3,3,10,5,3,3,2,4,2,2,water,psychic,4
397,Mandibuzz,5,3,2,2,3,3,5,3,15,3,3,5,3,2,18,5,0,dark,flying,7
398,Manectric,7,3,2,20,4,3,5,5,2,4,3,2,5,2,7,3,0,electric,fire,11
399,Mankey,6,3,3,5,5,21,10,7,4,5,3,9,4,4,11,3,0,fighting,dark,10
400,Mantine,3,19,4,3,8,2,7,6,10,7,4,7,3,3,2,3,0,water,flying,4
401,Mantyke,3,17,2,3,8,2,5,6,9,6,3,5,3,3,2,2,0,water,flying,4
402,Maractus,3,2,27,2,3,3,8,4,5,3,3,2,2,2,4,2,0,grass,poison,6
403,Mareep,2,3,4,19,3,3,5,5,2,6,3,3,4,2,3,3,0,electric,psychic,11
404,Marill,3,25,4,2,10,9,5,4,3,6,2,4,2,2,5,3,2,water,ice,4
405,Marowak,9,2,2,3,9,13,5,11,3,3,3,14,2,3,5,5,1,rock,fighting,16
406,Marshtomp,3,19,3,3,13,11,9,10,2,5,2,14,5,2,4,3,0,water,rock,4
407,Masquerain,4,12,6,3,8,3,5,5,11,6,16,2,6,3,3,2,0,bug,water,5
408,Mawile,9,3,5,6,11,10,10,5,2,4,2,12,4,3,18,6,4,dark,rock,2
409,Medicham,5,3,5,3,4,21,8,5,3,22,3,7,4,2,3,3,0,psychic,fighting,3
410,Meditite,5,3,4,3,4,21,8,5,3,22,3,7,4,2,3,3,0,psychic,fighting,3
411,Meganium,3,3,29,2,3,4,8,6,2,7,3,5,2,5,2,3,0,grass,poison,6
412,Meloetta,5,3,5,8,7,12,5,4,4,21,4,4,4,3,8,2,1,psychic,fighting,3
413,Meowstic-F,3,3,4,6,5,3,5,5,3,24,3,2,3,3,8,3,2,psychic,dark,3
414,Meowstic-M,3,3,3,6,5,4,5,5,3,24,3,2,3,3,9,3,3,psychic,dark,3
415,Meowth,3,5,4,5,6,3,7,4,3,6,3,2,7,2,18,3,1,dark,ghost,2
416,Metagross,3,3,4,4,5,7,7,8,4,16,4,13,3,2,5,9,0,psychic,rock,16
417,Metang,3,3,4,4,5,6,7,8,4,16,4,13,3,2,5,9,0,psychic,rock,16
418,Metapod,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,bug,steel,0
419,Mew,13,13,11,13,15,17,17,12,16,25,13,17,8,11,19,9,1,psychic,dark,1
420,Mewtwo,10,6,6,9,12,15,8,7,5,31,3,10,4,2,9,3,0,psychic,fighting,3
421,Mienfoo,3,3,4,2,3,19,8,3,5,8,3,8,2,3,6,2,0,fighting,rock,10
422,Mienshao,3,3,4,2,3,19,8,3,5,8,3,9,2,3,6,2,0,fighting,rock,10
423,Mightyena,6,3,2,3,6,5,8,5,2,3,2,3,6,2,16,3,1,dark,poison,2
424,Milotic,3,19,2,3,11,2,6,5,2,7,2,2,3,9,2,4,1,water,ice,4
425,Miltank,5,7,3,7,9,13,6,5,2,5,2,11,5,2,4,5,0,fighting,rock,10
426,Mime Jr.,3,3,5,7,4,6,5,4,2,26,4,2,4,2,8,2,1,psychic,dark,3
427,Minccino,3,4,5,5,4,3,7,4,2,4,3,2,2,2,6,3,3,poison,dark,1
428,Minun,2,3,4,19,4,5,5,5,2,5,3,3,2,2,6,3,2,electric,dark,11
429,Misdreavus,5,3,2,7,6,2,5,3,3,17,2,3,14,2,14,2,1,psychic,dark,2
430,Mismagius,7,3,4,7,6,2,5,3,3,17,2,3,15,2,14,2,1,psychic,ghost,2
431,Moltres,14,3,3,2,2,3,5,3,16,5,3,5,3,3,2,4,0,flying,fire,7
432,Monferno,21,3,5,3,5,17,10,4,4,4,3,11,3,3,7,3,0,fire,fighting,9
433,Mothim,3,3,5,3,2,2,10,3,12,9,14,2,4,3,3,2,0,bug,flying,5
434,Mr. Mime,5,3,7,8,6,11,5,5,3,30,4,3,5,3,10,3,3,psychic,fighting,3
435,Mudkip,3,17,3,3,11,7,9,7,2,5,2,12,5,2,3,3,0,water,rock,4
436,Muk,9,3,3,6,6,8,24,5,2,4,3,7,8,2,10,2,0,poison,dark,13
437,Munchlax,9,7,4,6,9,9,8,5,2,7,2,10,7,3,5,2,1,rock,fire,1
438,Munna,2,3,4,5,3,2,5,4,3,27,3,6,6,2,3,3,2,psychic,ghost,3
439,Murkrow,4,3,2,3,5,2,5,3,18,8,2,2,9,3,18,4,0,flying,dark,7
440,Musharna,2,3,4,5,3,2,5,4,3,27,3,6,6,2,3,3,2,psychic,ghost,3
441,Natu,4,3,6,3,3,2,5,3,13,27,5,2,7,3,6,4,1,psychic,flying,3
442,Nidoking,9,8,2,6,12,12,24,9,3,5,4,14,4,7,11,3,0,poison,rock,13
443,Nidoqueen,9,8,2,6,12,12,27,9,3,3,3,13,4,7,14,3,1,poison,dark,13
444,Nidoran-F,3,5,2,5,7,5,25,4,3,3,2,3,3,2,10,3,1,poison,dark,13
445,Nidoran-M,3,5,2,5,7,5,22,5,3,5,2,4,3,2,7,3,0,poison,dark,13
446,Nidorina,3,5,2,5,7,5,25,4,3,3,2,3,3,2,10,3,1,poison,dark,13
447,Nidorino,3,5,2,5,7,5,22,5,3,5,2,4,3,2,7,3,0,poison,dark,13
448,Nincada,3,2,4,2,2,3,5,5,4,3,13,3,4,2,5,3,0,bug,dark,5
449,Ninetales,17,2,4,2,2,2,5,3,2,12,2,2,7,2,8,3,2,fire,psychic,9
450,Ninjask,3,2,4,2,2,3,5,5,9,4,14,3,5,2,6,3,0,bug,flying,5
451,Noctowl,4,3,2,2,4,3,5,3,17,15,3,2,7,3,4,4,0,flying,psychic,7
452,Noibat,4,4,3,3,5,3,5,2,15,7,5,2,4,6,10,5,0,flying,dark,7
453,Noivern,5,4,3,3,5,4,5,2,15,7,5,2,4,8,11,5,1,flying,dark,7
454,Nosepass,5,2,2,12,5,4,5,10,3,5,2,22,2,2,4,3,1,rock,electric,16
455,Numel,14,2,2,2,3,3,5,9,2,4,2,12,4,2,2,3,1,fire,rock,9
456,Nuzleaf,3,2,16,2,3,7,5,5,3,6,3,8,4,2,14,2,0,grass,dark,14
457,Octillery,7,21,5,4,8,3,12,5,3,6,4,5,2,2,4,3,0,water,poison,4
458,Oddish,3,2,22,2,2,2,14,3,2,3,3,2,2,2,2,2,4,grass,poison,6
459,Omanyte,2,19,2,2,9,3,7,6,2,3,2,17,2,2,5,4,0,water,rock,4
460,Omastar,2,19,2,2,9,4,7,7,2,3,2,19,2,2,5,4,0,water,rock,4
461,Onix,3,2,3,3,3,3,5,11,2,3,2,21,4,9,5,7,0,rock,ground,16
462,Oshawott,4,21,5,2,7,5,5,3,4,3,4,3,2,2,6,3,0,water,ice,4
463,Pachirisu,2,3,5,19,3,2,7,5,2,4,3,3,2,2,6,3,2,electric,poison,11
464,Palkia,7,11,2,6,9,8,5,7,4,6,3,11,3,14,4,2,0,dragon,rock,12
465,Palpitoad,2,13,2,3,7,4,10,7,3,3,3,5,2,2,2,2,0,water,poison,4
466,Pancham,5,4,4,3,8,18,9,4,4,4,2,8,4,3,13,3,0,fighting,dark,10
467,Pangoro,5,4,4,3,8,20,12,5,4,4,4,8,4,5,18,3,0,fighting,dark,10
468,Panpour,3,18,4,3,12,6,8,4,3,4,2,5,5,2,12,3,1,water,dark,4
469,Pansage,3,2,17,2,5,6,8,3,3,4,2,5,5,2,12,3,1,grass,dark,14
470,Pansear,16,2,5,2,5,6,8,3,3,5,2,5,5,2,12,3,1,fire,dark,9
471,Paras,3,2,16,2,2,5,15,4,3,6,12,4,2,2,6,3,0,grass,poison,14
472,Parasect,3,2,16,2,2,5,15,4,3,6,12,4,2,2,6,3,0,grass,poison,14
473,Patrat,3,4,5,4,2,6,7,4,2,5,2,2,4,2,7,3,0,poison,dark,2
474,Pawniard,2,3,4,4,4,9,8,4,3,5,4,10,4,3,20,6,0,dark,rock,2
475,Pelipper,3,17,3,3,9,2,7,3,17,4,3,3,3,3,7,4,0,water,flying,7
476,Persian,3,5,4,5,6,3,7,4,3,6,3,3,7,2,20,3,2,dark,ghost,2
477,Petilil,3,2,21,2,2,2,5,2,2,5,2,2,2,2,2,2,1,grass,psychic,6
478,Phanpy,3,2,3,2,6,6,7,7,2,3,2,13,3,2,3,4,2,rock,poison,16
479,Phantump,4,2,15,2,2,3,10,4,2,13,2,5,12,2,7,2,0,grass,psychic,14
480,Phione,3,17,4,2,7,2,6,3,3,3,4,3,2,2,4,2,2,water,ice,4
481,Pichu,2,4,4,16,4,5,5,4,2,4,3,3,2,2,4,3,3,electric,poison,11
482,Pidgeot,4,3,2,2,2,3,5,4,19,4,3,2,4,3,5,4,0,flying,dark,7
483,Pidgeotto,4,3,2,2,2,3,5,4,19,4,3,2,4,3,5,4,0,flying,dark,7
484,Pidgey,4,3,2,2,2,3,5,4,19,4,3,2,4,3,5,4,0,flying,dark,7
485,Pidove,4,3,2,2,3,3,5,2,14,4,3,2,2,2,4,4,0,flying,poison,7
486,Pignite,18,3,6,4,3,12,10,5,2,4,2,10,5,2,6,5,0,fire,fighting,9
487,Pikachu,2,4,4,20,5,9,5,5,3,6,3,4,2,2,5,3,3,electric,fighting,11
488,Piloswine,2,4,2,3,17,5,5,11,3,6,2,12,5,2,3,2,1,ice,rock,1
489,Pineco,3,2,4,2,2,5,9,9,3,7,8,11,2,2,3,4,0,rock,poison,16
490,Pinsir,3,3,2,2,4,14,5,6,2,3,9,12,2,2,6,3,0,fighting,rock,10
491,Piplup,4,20,5,3,10,3,5,5,8,4,3,6,2,2,4,2,0,water,ice,4
492,Plusle,3,5,4,18,4,5,5,4,2,5,3,3,2,2,5,3,2,electric,dark,11
493,Politoed,3,18,2,2,15,11,5,8,3,6,2,3,2,2,5,2,1,water,ice,4
494,Poliwag,3,18,2,2,11,3,5,5,2,6,2,2,2,2,3,2,1,water,ice,4
495,Poliwhirl,3,18,2,2,13,9,5,8,2,6,2,3,2,2,4,2,1,water,ice,4
496,Poliwrath,3,18,2,2,13,16,8,8,2,6,2,8,2,2,5,2,1,water,fighting,4
497,Ponyta,17,2,3,3,4,4,5,2,3,6,2,2,2,2,2,3,1,fire,psychic,9
498,Poochyena,6,3,2,3,6,5,8,5,2,3,2,3,6,2,16,3,1,dark,poison,2
499,Porygon,3,3,3,11,6,2,5,4,4,15,3,2,4,2,4,3,0,psychic,electric,3
500,Porygon2,3,3,3,11,6,2,5,4,4,15,3,2,4,2,4,3,0,psychic,electric,3
501,Porygon-Z,3,3,3,11,6,2,5,4,4,15,3,2,4,2,8,3,0,psychic,electric,3
502,Primeape,6,3,3,5,5,21,10,7,4,5,3,10,4,4,11,3,0,fighting,dark,10
503,Prinplup,4,20,5,3,10,4,5,5,8,4,3,7,3,2,5,3,0,water,ice,4
504,Probopass,5,2,2,12,5,4,5,10,3,5,2,22,2,2,4,6,1,rock,electric,16
505,Psyduck,3,20,3,3,9,11,6,7,3,18,3,3,5,2,4,3,0,water,psychic,4
506,Pumpkaboo,9,2,13,3,2,3,7,2,2,12,2,5,10,2,6,3,0,grass,psychic,14
507,Pumpkaboo-Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fire,water,8
508,Pumpkaboo-Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fire,water,8
509,Pumpkaboo-Super,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fire,water,8
510,Pupitar,3,3,2,2,3,6,5,8,2,3,2,15,5,5,12,5,0,rock,dark,16
511,Purrloin,3,3,5,3,5,2,7,3,3,6,3,2,5,2,21,3,2,dark,poison,2
512,Purugly,3,5,2,5,5,3,5,6,3,5,4,3,4,2,15,3,2,dark,ground,2
513,Pyroar,16,3,3,3,4,3,5,4,3,3,2,3,2,2,10,3,0,fire,dark,9
514,Quagsire,2,16,2,4,12,11,10,10,2,5,3,11,4,2,4,3,0,water,ice,4
515,Quilava,21,3,3,3,3,8,5,4,3,4,3,4,3,2,2,2,0,fire,fighting,9
516,Quilladin,3,3,17,3,3,12,10,7,3,5,3,10,5,3,7,6,0,grass,fighting,14
517,Qwilfish,2,19,2,4,8,3,20,4,3,3,5,3,5,2,4,3,0,poison,water,4
518,Raichu,2,4,4,20,5,10,5,5,3,6,3,4,2,2,6,3,3,electric,fighting,11
519,Raikou,3,3,2,15,2,4,5,6,2,7,3,5,3,2,6,4,0,electric,psychic,11
520,Ralts,6,3,5,7,9,2,5,5,2,27,3,2,8,3,8,2,5,psychic,ice,3
521,Rampardos,9,5,2,6,6,9,5,8,2,4,2,17,5,7,8,4,0,rock,fire,16
522,Rapidash,17,2,3,3,4,4,8,3,3,6,3,2,2,2,2,3,1,fire,poison,9
523,Raticate,4,3,4,8,6,7,5,4,3,4,3,3,3,2,9,3,0,dark,electric,1
524,Rattata,4,3,4,8,6,7,5,4,3,4,3,3,3,2,9,3,0,dark,electric,1
525,Regice,2,3,2,9,11,12,5,6,3,5,3,12,4,2,3,4,0,fighting,rock,10
526,Regigigas,5,3,2,7,6,11,5,8,4,4,2,14,4,2,5,4,0,rock,fighting,16
527,Regirock,5,2,2,9,4,12,5,9,3,4,2,19,4,2,3,4,0,rock,fighting,16
528,Registeel,3,3,2,10,4,12,5,7,4,5,2,15,5,2,4,6,0,rock,fighting,16
529,Relicanth,3,20,2,3,7,3,5,10,3,6,2,16,2,2,2,2,0,water,rock,4
530,Remoraid,7,21,4,4,8,2,8,5,3,6,4,5,2,2,3,2,0,water,poison,4
531,Reshiram,15,2,3,2,5,4,5,3,7,10,2,9,4,14,6,4,0,fire,dragon,12
532,Reuniclus,4,3,5,6,4,8,6,4,3,23,4,8,6,2,6,5,1,psychic,rock,3
533,Rhydon,11,6,3,7,11,13,8,11,2,4,4,19,6,9,6,4,0,rock,fighting,16
534,Rhyhorn,9,4,3,6,8,6,8,11,2,4,3,19,5,6,5,4,0,rock,ground,16
535,Rhyperior,11,6,3,7,11,13,8,11,2,4,4,21,6,9,6,6,0,rock,fighting,16
536,Riolu,4,3,2,4,5,23,8,7,3,6,3,7,4,3,7,5,0,fighting,poison,10
537,Roggenrola,2,2,2,2,2,3,5,10,3,4,2,17,4,2,2,6,0,rock,ground,16
538,Roselia,4,5,26,2,2,2,17,4,2,4,4,2,4,2,2,2,2,grass,poison,6
539,Roserade,4,5,29,2,2,2,19,5,2,4,4,2,4,2,2,2,2,grass,poison,6
540,Rotom,4,3,2,14,2,2,5,4,2,8,3,2,8,2,8,2,0,electric,ghost,11
541,Rotom-Fan,4,3,2,14,2,2,5,4,3,8,3,2,8,2,8,2,0,electric,ghost,11
542,Rotom-Frost,4,3,2,14,3,2,5,4,2,8,3,2,8,2,8,2,0,electric,ghost,11
543,Rotom-Heat,5,3,2,14,2,2,5,4,2,8,3,2,8,2,8,2,0,electric,ghost,11
544,Rotom-Mow,4,3,3,14,2,2,5,4,2,8,3,2,8,2,8,2,0,electric,ghost,11
545,Rotom-Wash,4,4,2,14,2,2,5,4,2,8,3,2,8,2,8,2,0,electric,ghost,11
546,Rufflet,4,3,2,2,2,5,5,2,15,3,3,7,3,2,3,4,0,flying,rock,7
547,Sableye,7,6,2,4,6,13,8,6,4,15,4,6,12,2,21,3,2,dark,psychic,2
548,Salamence,11,5,2,3,3,4,5,5,10,4,3,9,4,19,5,6,0,dragon,fire,12
549,Samurott,4,22,5,2,7,6,5,3,4,3,5,3,2,4,7,3,0,water,dark,4
550,Sandile,5,3,2,3,3,3,7,9,2,3,2,11,3,2,18,3,0,dark,rock,2
